Date	Price	Open	High	Low	Vol.	Change %
06/09/2022	102,08	102,63	102,85	101,51	18.24K	-0,70%
06/08/2022	102,8	102,7	102,8	102,28	22.30K	0,10%
06/07/2022	102,7	102,3	103	102,3	20.31K	0,39%
06/06/2022	102,3	101,98	102,3	101,64	16.57K	0,31%
06/03/2022	101,98	100,79	102,09	100,79	19.52K	1,24%
06/02/2022	100,73	100,68	101	100,27	15.51K	0,46%
06/01/2022	100,27	100,8	101,49	100,01	18.09K	-1,21%
05/31/2022	101,5	101,29	101,78	100,6	21.27K	0,21%
05/30/2022	101,29	101	101,89	101	17.00K	0,29%
05/27/2022	101	100,08	101	100,08	16.28K	1,18%
05/26/2022	99,82	99,79	100,47	99,7	17.73K	0,03%
05/25/2022	99,79	99,95	100,38	99,52	24.06K	-0,16%
05/24/2022	99,95	101,28	101,79	99,15	27.35K	-1,19%
05/23/2022	101,15	100,37	101,5	100,02	18.90K	0,77%
05/20/2022	100,38	100	100,58	99,8	14.71K	0,59%
05/19/2022	99,79	100	100,51	99,5	16.12K	-0,21%
05/18/2022	100	100,25	100,94	99,89	19.18K	-0,25%
05/17/2022	100,25	100,35	100,39	99,95	19.93K	0,05%
05/16/2022	100,2	100,1	100,5	100	17.77K	0,19%
05/13/2022	100,01	100,1	100,49	99,9	17.40K	-0,11%
05/12/2022	100,12	100,11	100,46	99,55	16.33K	0,01%
05/11/2022	100,11	100,12	100,76	99,96	14.29K	0,01%
05/10/2022	100,1	100,05	101	99,75	15.68K	0,05%
05/09/2022	100,05	100,03	101,43	99,72	21.69K	0,02%
05/06/2022	100,03	99,71	101,5	99,61	18.05K	0,73%
05/05/2022	99,31	102	102,37	99	27.31K	-2,62%
05/04/2022	101,98	102	102,09	100,52	22.18K	-0,13%
05/03/2022	102,11	101,7	103,27	98,56	49.82K	0,42%
05/02/2022	101,68	103,3	103,37	101,59	21.04K	-1,28%
04/29/2022	103	103,38	104,14	102,87	22.32K	-0,17%
04/28/2022	103,18	104,3	104,6	102,53	19.50K	-1,07%
04/27/2022	104,3	104,26	104,55	103,77	27.01K	0,04%
04/26/2022	104,26	103,01	104,58	103,01	37.59K	1,73%
04/25/2022	102,49	104,54	104,88	102,07	21.25K	-1,97%
04/22/2022	104,55	104,39	104,68	104	19.04K	0,15%
04/20/2022	104,39	103,24	104,59	102,6	20.76K	1,13%
04/19/2022	103,22	104,79	104,92	103	31.37K	-1,30%
04/18/2022	104,58	103,89	104,99	103,7	34.96K	0,66%
04/14/2022	103,89	102,38	103,89	102,38	25.63K	1,20%
04/13/2022	102,66	102,29	103,4	102,29	23.22K	0,36%
04/12/2022	102,29	102	103,34	101,51	22.23K	0,78%
04/11/2022	101,5	102,95	103	101,4	27.32K	-1,41%
04/08/2022	102,95	102,7	103,44	102	15.64K	0,16%
04/07/2022	102,79	102,26	103,43	102,26	27.46K	0,52%
04/06/2022	102,26	102	102,97	101,2	27.89K	0,30%
04/05/2022	101,95	100,95	103,68	100,95	59.68K	0,99%
04/04/2022	100,95	99,99	101	99,99	23.68K	1,09%
04/01/2022	99,86	99,2	99,99	98,67	31.15K	-0,02%
03/31/2022	99,88	99,03	99,9	99,03	27.39K	0,87%
03/30/2022	99,02	98,25	99,25	98,11	23.29K	1,00%
03/29/2022	98,04	97,66	98,25	97,66	23.54K	0,39%
03/28/2022	97,66	97,22	97,8	97,12	22.39K	0,58%
03/25/2022	97,1	97,04	97,52	97,02	19.36K	0,07%
03/24/2022	97,03	97,2	97,79	97,01	15.88K	-0,27%
03/23/2022	97,29	97,33	97,5	96,59	28.64K	-0,04%
03/22/2022	97,33	97,51	98,24	97,01	18.76K	0,13%
03/21/2022	97,2	97,12	97,94	96,9	29.31K	0,10%
03/18/2022	97,1	98,52	98,52	96,85	27.21K	-0,22%
03/17/2022	97,31	97,85	98,76	97,3	19.83K	-0,70%
03/16/2022	98	97,26	98,4	96,76	15.77K	0,75%
03/15/2022	97,27	97	97,97	96,2	21.41K	0,54%
03/14/2022	96,75	97,31	97,8	96,38	22.04K	-0,58%
03/11/2022	97,31	97,3	98,28	97,01	22.62K	0,21%
03/10/2022	97,11	97,1	98,49	97,1	18.64K	0,01%
03/09/2022	97,1	98,6	98,99	97,03	19.19K	-1,52%
03/08/2022	98,6	98,75	99,49	98,43	16.89K	-0,15%
03/07/2022	98,75	99,72	99,72	98,75	21.19K	-0,97%
03/04/2022	99,72	98,85	99,9	98,77	23.11K	0,68%
03/03/2022	99,05	98,26	99,9	98,26	16.42K	0,79%
03/02/2022	98,27	99,31	100,31	98,2	17.88K	-1,72%
02/25/2022	99,99	97,51	100	97,51	22.25K	2,54%
02/24/2022	97,51	98,41	98,45	96,7	19.60K	-1,00%
02/23/2022	98,49	98,71	99,6	98,49	22.79K	-0,22%
02/22/2022	98,71	98,69	98,9	98,51	17.29K	0,01%
02/21/2022	98,7	98,53	98,9	98,5	23.64K	0,17%
02/18/2022	98,53	98,51	99,58	98,51	20.80K	0,03%
02/17/2022	98,5	99,47	99,96	98,5	30.08K	-0,51%
02/16/2022	99	99,02	99,63	99	18.22K	-0,01%
02/15/2022	99,01	99,75	100,48	99,01	33.49K	-0,60%
02/14/2022	99,61	101,09	101,09	99,53	38.43K	-1,47%
02/11/2022	101,1	100,4	101,35	100,4	15.54K	0,70%
02/10/2022	100,4	100,24	100,79	100	19.33K	0,16%
02/09/2022	100,24	99,8	100,65	99,5	20.01K	0,40%
02/08/2022	99,84	99,9	100,48	99,5	13.60K	0,34%
02/07/2022	99,5	100,06	100,4	99,5	14.72K	-0,56%
02/04/2022	100,06	100,78	100,78	99,41	14.47K	0,14%
02/03/2022	99,92	100,22	100,48	99,65	14.29K	-0,32%
02/02/2022	100,24	100,99	100,99	100,08	16.04K	-0,74%
02/01/2022	100,99	101,03	101,15	100,01	19.84K	-0,31%
01/31/2022	101,3	100,49	101,64	100,21	22.41K	0,80%
01/28/2022	100,5	99,5	100,8	99,42	15.12K	1,01%
01/27/2022	99,5	101,14	101,5	99,5	22.97K	-1,62%
01/26/2022	101,14	100,61	101,99	100	22.03K	-0,35%
01/25/2022	101,5	100,92	101,91	100,9	19.13K	0,57%
01/24/2022	100,92	101,96	102,3	100,62	32.65K	-1,02%
01/21/2022	101,96	101,99	102,39	101	23.98K	-0,02%
01/20/2022	101,98	102,01	103,63	100,61	33.19K	-0,02%
01/19/2022	102	103,7	104,45	102	24.07K	-1,64%
01/18/2022	103,7	102,62	103,81	102	23.59K	1,05%
01/17/2022	102,62	101,8	102,65	101,8	22.01K	0,90%
01/14/2022	101,7	100,25	101,7	100,25	22.91K	1,46%
01/13/2022	100,24	101,4	101,89	100,21	20.62K	-1,14%
01/12/2022	101,4	100,11	101,43	100,11	15.03K	1,29%
01/11/2022	100,11	101,8	102,6	100,11	23.71K	-1,66%
01/10/2022	101,8	101,7	102,85	101,16	19.99K	0,10%
01/07/2022	101,7	102,11	103	101,1	20.28K	-0,40%
01/06/2022	102,11	101,16	102,4	100,55	20.34K	0,94%
01/05/2022	101,16	101,96	102,49	101,16	14.37K	-0,78%
01/04/2022	101,96	102,11	103,26	101,5	20.32K	0,26%
01/03/2022	101,7	103	103,44	101,39	18.14K	-1,72%
